fecha,morosidad,morosidad_sin_nuevos,efecto_pp
2025-06-30,3.5039,3.4704,0.0336
2025-07-31,3.5215,3.4882,0.0333
2025-08-31,3.4625,3.4312,0.0313
2025-09-30,3.4091,3.3826,0.0265
2025-10-31,3.3902,3.3660,0.0241
2025-11-30,3.2580,3.2381,0.0199
2025-12-31,3.2617,3.2432,0.0185
2026-01-31,3.1957,3.1783,0.0173
2026-02-28,3.1088,3.0917,0.0171
2026-03-31,2.9873,2.9690,0.0183
2026-04-30,2.8951,2.8734,0.0218
2026-05-31,2.8346,2.8062,0.0284
2026-06-30,2.8494,2.8171,0.0323
2026-07-31,2.8513,2.8141,0.0372
