fecha,directos_miles_millones,morosidad,car,morosidad_var_12m_pp
2024-11-30,350.2411,3.9164,5.9195,-0.4678
2024-12-31,351.4914,3.7477,5.7247,-0.5672
2025-01-31,352.4294,3.7572,5.7068,-0.6673
2025-02-28,353.7153,3.6703,5.6034,-0.7627
2025-03-31,354.2465,3.7147,5.5891,-0.7537
2025-04-30,358.1338,3.6453,5.4635,-0.8179
2025-05-31,359.8444,3.6048,5.4114,-0.8877
2025-06-30,363.1167,3.5039,5.3257,-0.9181
2025-07-31,366.5587,3.5215,5.3368,-0.9125
2025-08-31,367.1654,3.4625,5.2557,-0.7567
2025-09-30,366.6822,3.4091,5.1975,-0.7465
2025-10-31,365.8910,3.3902,5.1579,-0.6803
2025-11-30,368.2367,3.2580,5.0601,-0.6584
2025-12-31,370.4386,3.2617,5.0735,-0.4860
2026-01-31,368.4506,3.1957,5.0355,-0.5616
2026-02-28,370.0952,3.1088,4.9240,-0.5615
2026-03-31,376.7086,2.9873,4.7794,-0.7274
2026-04-30,384.8863,2.8951,4.6389,-0.7502
2026-05-31,387.0279,2.8346,4.5415,-0.7702
2026-06-30,390.5686,2.8494,4.4777,-0.6545
2026-07-31,395.9413,2.8513,4.4087,-0.6702
