fecha,morosidad,castigos_12m_miles_millones,morosidad_ajustada,brecha_pp
2024-05-31,4.4924,10.2211,7.1939,2.7014
2024-06-30,4.4220,10.5194,7.1756,2.7536
2024-07-31,4.4340,10.7663,7.2886,2.8546
2024-08-31,4.2192,10.8442,7.0989,2.8797
2024-09-30,4.1556,10.8651,7.0536,2.8979
2024-10-31,4.0705,10.8845,6.9761,2.9056
2024-11-30,3.9164,10.9590,6.8316,2.9152
2024-12-31,3.7477,10.7998,6.6170,2.8692
2025-01-31,3.7572,10.5898,6.5647,2.8075
2025-02-28,3.6703,10.2900,6.3935,2.7231
2025-03-31,3.7147,9.8440,6.3180,2.6033
2025-04-30,3.6453,9.4302,6.1174,2.4721
2025-05-31,3.6048,9.0908,5.9800,2.3752
2025-06-30,3.5039,8.8072,5.7890,2.2850
2025-07-31,3.5215,8.4265,5.6895,2.1680
2025-08-31,3.4625,8.2106,5.5741,2.1116
2025-09-30,3.4091,8.0451,5.4829,2.0737
2025-10-31,3.3902,7.9090,5.4343,2.0441
2025-11-30,3.2580,7.7268,5.2462,1.9882
2025-12-31,3.2617,7.6426,5.2172,1.9555
2026-01-31,3.1957,7.6265,5.1588,1.9631
2026-02-28,3.1088,7.5400,5.0434,1.9346
2026-03-31,2.9873,7.5104,4.8837,1.8963
2026-04-30,2.8951,7.3950,4.7257,1.8306
2026-05-31,2.8346,7.2914,4.6313,1.7967
2026-06-30,2.8494,7.1676,4.6002,1.7508
2026-07-31,2.8513,7.1378,4.5716,1.7203
