entidad_id,tipo_credito,directos,participacion_tipo,morosidad,morosidad_sistema,brecha_pp,aporte_atrasados_pct
SANTANDER_CONSUMER,consumo,2515406.7970,2.8702,3.8747,2.4913,1.3834,4.4640
SANTANDER_CONSUMER,hipotecario,71555.4970,0.0960,1.5443,2.3998,-0.8555,0.0618
SANTANDER_CONSUMER,microempresas,2489.8230,0.0573,63.1612,5.1231,58.0380,0.7060
SANTANDER_CONSUMER,pequenas_empresas,2551.8890,0.0047,26.9200,8.9936,17.9263,0.0140
SCOTIABANK,consumo,11121862.9698,12.6905,2.0936,2.4913,-0.3977,10.6646
SCOTIABANK,corporativo,15396751.2850,13.1692,0.0449,0.1170,-0.0722,5.0490
SCOTIABANK,grandes_empresas,4031410.4680,10.4176,2.3830,1.9030,0.4800,13.0454
SCOTIABANK,hipotecario,11545382.2810,15.4900,2.6732,2.3998,0.2733,17.2542
SCOTIABANK,medianas_empresas,2451224.2340,12.6639,17.8912,6.8419,11.0493,33.1154
SCOTIABANK,microempresas,3971.0760,0.0913,55.2298,5.1231,50.1067,0.9846
SCOTIABANK,pequenas_empresas,6244864.0840,11.4688,11.7577,8.9936,2.7641,14.9936
