fecha,entidad_id,tipo_credito,deudores
2015-02-28,CITIBANK,consumo,82589.000000
2015-02-28,CITIBANK,corporativo,57.000000
2015-02-28,CITIBANK,grandes_empresas,92.000000
2015-02-28,CITIBANK,hipotecario,33.000000
2015-02-28,CITIBANK,medianas_empresas,31.000000
2015-02-28,CITIBANK,microempresas,7.000000
2015-02-28,CITIBANK,pequenas_empresas,6.000000
2015-02-28,FALABELLA,consumo,1098988.000000
2015-02-28,FALABELLA,grandes_empresas,1.000000
2015-02-28,FALABELLA,hipotecario,220.000000
2015-02-28,FALABELLA,medianas_empresas,1.000000
2015-02-28,GNB,consumo,43789.000000
2015-02-28,GNB,corporativo,25.000000
2015-02-28,GNB,grandes_empresas,139.000000
2015-02-28,GNB,hipotecario,4408.000000
2015-02-28,GNB,medianas_empresas,420.000000
2015-02-28,GNB,microempresas,8.000000
2015-02-28,GNB,pequenas_empresas,67.000000
2015-02-28,ICBC,corporativo,8.000000
2015-02-28,ICBC,grandes_empresas,3.000000
2015-02-28,INTERBANK,consumo,815558.000000
2015-02-28,INTERBANK,corporativo,127.000000
2015-02-28,INTERBANK,grandes_empresas,557.000000
2015-02-28,INTERBANK,hipotecario,36016.000000
2015-02-28,INTERBANK,medianas_empresas,3856.000000
2015-02-28,INTERBANK,microempresas,1106.000000
2015-02-28,INTERBANK,pequenas_empresas,7994.000000
2015-02-28,MIBANCO,consumo,26961.000000
2015-02-28,MIBANCO,hipotecario,4813.000000
2015-02-28,MIBANCO,medianas_empresas,2632.000000
2015-02-28,MIBANCO,microempresas,185954.000000
2015-02-28,MIBANCO,pequenas_empresas,75999.000000
2015-02-28,PICHINCHA,consumo,212841.000000
2015-02-28,PICHINCHA,corporativo,103.000000
2015-02-28,PICHINCHA,grandes_empresas,309.000000
2015-02-28,PICHINCHA,hipotecario,7975.000000
2015-02-28,PICHINCHA,medianas_empresas,2196.000000
2015-02-28,PICHINCHA,microempresas,19933.000000
2015-02-28,PICHINCHA,pequenas_empresas,17507.000000
2015-02-28,RIPLEY,consumo,498341.000000
2015-02-28,RIPLEY,microempresas,9.000000
2015-02-28,SANTANDER,consumo,14.000000
2015-02-28,SANTANDER,corporativo,59.000000
2015-02-28,SANTANDER,grandes_empresas,174.000000
2015-02-28,SANTANDER,medianas_empresas,148.000000
2015-02-28,SANTANDER,pequenas_empresas,5.000000
2015-02-28,SCOTIABANK,consumo,254931.000000
2015-02-28,SCOTIABANK,corporativo,139.000000
2015-02-28,SCOTIABANK,grandes_empresas,788.000000
2015-02-28,SCOTIABANK,hipotecario,28653.000000
2015-02-28,SCOTIABANK,medianas_empresas,11316.000000
2015-02-28,SCOTIABANK,microempresas,4595.000000
2015-02-28,SCOTIABANK,pequenas_empresas,50720.000000
2015-03-31,ALFIN,consumo,414525.000000
2015-03-31,BANCOM,consumo,63607.000000
2015-03-31,BANCOM,corporativo,6.000000
2015-03-31,BANCOM,grandes_empresas,43.000000
2015-03-31,BANCOM,hipotecario,310.000000
2015-03-31,BANCOM,medianas_empresas,207.000000
2015-03-31,BANCOM,microempresas,773.000000
2015-03-31,BANCOM,pequenas_empresas,886.000000
2015-03-31,BBVA,consumo,344750.000000
2015-03-31,BBVA,corporativo,230.000000
2015-03-31,BBVA,grandes_empresas,1498.000000
2015-03-31,BBVA,hipotecario,50443.000000
2015-03-31,BBVA,medianas_empresas,13907.000000
2015-03-31,BBVA,microempresas,2749.000000
2015-03-31,BBVA,pequenas_empresas,17147.000000
2015-03-31,BCP,consumo,867068.000000
2015-03-31,BCP,corporativo,419.000000
2015-03-31,BCP,grandes_empresas,1655.000000
2015-03-31,BCP,hipotecario,62622.000000
2015-03-31,BCP,medianas_empresas,16855.000000
2015-03-31,BCP,microempresas,27049.000000
2015-03-31,BCP,pequenas_empresas,64481.000000
2015-03-31,BIF,consumo,62926.000000
2015-03-31,BIF,corporativo,75.000000
2015-03-31,BIF,grandes_empresas,373.000000
2015-03-31,BIF,hipotecario,9267.000000
2015-03-31,BIF,medianas_empresas,3917.000000
2015-03-31,BIF,microempresas,3370.000000
2015-03-31,BIF,pequenas_empresas,3271.000000
2015-03-31,CENCOSUD,consumo,241497.000000
2015-03-31,CITIBANK,consumo,81436.000000
2015-03-31,CITIBANK,corporativo,51.000000
2015-03-31,CITIBANK,grandes_empresas,97.000000
2015-03-31,CITIBANK,hipotecario,29.000000
2015-03-31,CITIBANK,medianas_empresas,30.000000
2015-03-31,CITIBANK,microempresas,8.000000
2015-03-31,CITIBANK,pequenas_empresas,6.000000
2015-03-31,FALABELLA,consumo,1108138.000000
2015-03-31,FALABELLA,grandes_empresas,1.000000
2015-03-31,FALABELLA,hipotecario,215.000000
2015-03-31,FALABELLA,medianas_empresas,1.000000
2015-03-31,GNB,consumo,43230.000000
2015-03-31,GNB,corporativo,25.000000
2015-03-31,GNB,grandes_empresas,143.000000
2015-03-31,GNB,hipotecario,4449.000000
2015-03-31,GNB,medianas_empresas,433.000000
2015-03-31,GNB,microempresas,10.000000
2015-03-31,GNB,pequenas_empresas,76.000000
2015-03-31,ICBC,corporativo,8.000000
2015-03-31,ICBC,grandes_empresas,4.000000
2015-03-31,INTERBANK,consumo,824131.000000
2015-03-31,INTERBANK,corporativo,130.000000
2015-03-31,INTERBANK,grandes_empresas,555.000000
2015-03-31,INTERBANK,hipotecario,36128.000000
2015-03-31,INTERBANK,medianas_empresas,3845.000000
2015-03-31,INTERBANK,microempresas,1085.000000
2015-03-31,INTERBANK,pequenas_empresas,7994.000000
2015-03-31,MIBANCO,consumo,195958.000000
2015-03-31,MIBANCO,hipotecario,4631.000000
2015-03-31,MIBANCO,medianas_empresas,2728.000000
2015-03-31,MIBANCO,microempresas,562797.000000
2015-03-31,MIBANCO,pequenas_empresas,124459.000000
2015-03-31,PICHINCHA,consumo,221075.000000
2015-03-31,PICHINCHA,corporativo,109.000000
2015-03-31,PICHINCHA,grandes_empresas,319.000000
