fecha,entidad_id,tipo_credito,atrasados,refinanciados_reestructurados,vigentes,directos
2015-01-31,PICHINCHA,hipotecario,7863.705000,4833.067000,663253.217000,675949.989000
2015-01-31,PICHINCHA,medianas_empresas,84265.527000,33363.800000,1191929.216000,1309558.543000
2015-01-31,PICHINCHA,microempresas,5341.245000,1363.061000,115656.449000,122360.755000
2015-01-31,PICHINCHA,pequenas_empresas,44871.336000,8038.928000,486367.985000,539278.249000
2015-01-31,RIPLEY,consumo,40988.070590,11419.868010,1125549.072360,1177957.010960
2015-01-31,RIPLEY,microempresas,118.155000,0.000000,0.000000,118.155000
2015-01-31,SANTANDER,consumo,0.000000,0.000000,675.713010,675.713010
2015-01-31,SANTANDER,corporativo,0.000000,0.000000,922736.768000,922736.768000
2015-01-31,SANTANDER,grandes_empresas,8550.408000,1862.600000,857135.434000,867548.442000
2015-01-31,SANTANDER,medianas_empresas,2131.242000,120.002000,697147.148000,699398.392000
2015-01-31,SANTANDER,pequenas_empresas,28.830000,0.000000,802.100000,830.930000
2015-01-31,SCOTIABANK,consumo,158743.274800,32256.431390,3815663.806120,4006663.512310
2015-01-31,SCOTIABANK,corporativo,247.876000,40.099000,7560169.563000,7560457.538000
2015-01-31,SCOTIABANK,grandes_empresas,44147.730000,10542.778000,6510042.635000,6564733.143000
2015-01-31,SCOTIABANK,hipotecario,65397.015000,16074.038000,4891357.789000,4972828.842000
2015-01-31,SCOTIABANK,medianas_empresas,272155.341000,47237.523000,4983534.521000,5302927.385000
2015-01-31,SCOTIABANK,microempresas,6806.170000,1583.437000,123939.434000,132329.041000
2015-01-31,SCOTIABANK,pequenas_empresas,251981.073000,39533.276000,2433110.993000,2724625.342000
2015-02-28,ALFIN,consumo,53272.041540,1444.046990,502762.600030,557478.688560
2015-02-28,BANCOM,consumo,10887.544930,6060.310760,754198.615920,771146.471610
2015-02-28,BANCOM,corporativo,0.246000,0.000000,13561.640000,13561.886000
2015-02-28,BANCOM,grandes_empresas,22123.401000,6253.458000,53659.914000,82036.773000
2015-02-28,BANCOM,hipotecario,571.195000,0.000000,20874.176000,21445.371000
2015-02-28,BANCOM,medianas_empresas,28304.371000,11508.151000,154858.448000,194670.970000
2015-02-28,BANCOM,microempresas,643.301000,123.825000,4506.748000,5273.874000
2015-02-28,BANCOM,pequenas_empresas,3959.455000,808.112000,12842.075000,17609.642000
2015-02-28,BBVA,consumo,135751.930180,55057.321830,3454509.404530,3645318.656540
2015-02-28,BBVA,corporativo,108.614000,0.000000,10345561.897000,10345670.511000
2015-02-28,BBVA,grandes_empresas,120055.713000,82411.887000,8660046.105000,8862513.705000
2015-02-28,BBVA,hipotecario,93283.543000,82024.077000,9764347.369000,9939654.989000
2015-02-28,BBVA,medianas_empresas,590961.992000,494698.786000,9075494.599000,10161155.377000
2015-02-28,BBVA,microempresas,1865.345000,1328.647000,63622.531000,66816.523000
2015-02-28,BBVA,pequenas_empresas,144712.788000,68131.428000,1147670.493000,1360514.709000
2015-02-28,BCP,consumo,273157.351200,192687.002350,8865767.544800,9331611.898350
2015-02-28,BCP,corporativo,23657.501000,0.000000,18539138.017000,18562795.518000
2015-02-28,BCP,grandes_empresas,48443.781000,16669.842000,12926483.390000,12991597.013000
2015-02-28,BCP,hipotecario,198480.949000,29087.574000,10753599.917000,10981168.440000
2015-02-28,BCP,medianas_empresas,564916.469000,142140.437000,10406550.277000,11113607.183000
2015-02-28,BCP,microempresas,8345.901000,3736.368000,273527.052000,285609.321000
2015-02-28,BCP,pequenas_empresas,467032.026000,172253.322000,3678453.481000,4317738.829000
2015-02-28,BIF,consumo,19333.805810,4458.599060,637910.278720,661702.683590
2015-02-28,BIF,corporativo,0.908000,0.000000,1066250.262000,1066251.170000
2015-02-28,BIF,grandes_empresas,6524.556000,30869.604000,1348257.909000,1385652.069000
2015-02-28,BIF,hipotecario,4979.681000,3415.084000,1360145.177000,1368539.942000
2015-02-28,BIF,medianas_empresas,72428.233000,78649.892000,2254322.734000,2405400.859000
2015-02-28,BIF,microempresas,668.873000,16.650000,14061.276000,14746.799000
2015-02-28,BIF,pequenas_empresas,11634.828000,5512.354000,195509.578000,212656.760000
2015-02-28,CENCOSUD,consumo,12562.293490,6920.820200,298301.740520,317784.854210
2015-02-28,CITIBANK,consumo,63011.505060,8121.437350,882864.169740,953997.112150
2015-02-28,CITIBANK,corporativo,0.000000,11317.514000,1430389.277000,1441706.791000
2015-02-28,CITIBANK,grandes_empresas,0.000000,0.000000,560218.136000,560218.136000
2015-02-28,CITIBANK,hipotecario,0.000000,0.000000,5253.559000,5253.559000
2015-02-28,CITIBANK,medianas_empresas,2473.007000,0.000000,156739.234000,159212.241000
2015-02-28,CITIBANK,microempresas,0.000000,0.000000,800.594000,800.594000
2015-02-28,CITIBANK,pequenas_empresas,327.030000,0.000000,487.283000,814.313000
2015-02-28,FALABELLA,consumo,108067.997300,47246.002270,2889714.051500,3045028.051070
2015-02-28,FALABELLA,grandes_empresas,0.000000,0.000000,1.728000,1.728000
2015-02-28,FALABELLA,hipotecario,336.278000,47.546000,9497.337000,9881.161000
2015-02-28,FALABELLA,medianas_empresas,0.000000,0.000000,3.425000,3.425000
2015-02-28,GNB,consumo,12245.630950,10322.423460,855858.410930,878426.465340
2015-02-28,GNB,corporativo,0.000000,0.000000,363536.139000,363536.139000
2015-02-28,GNB,grandes_empresas,5956.330000,540.229000,410011.903000,416508.462000
2015-02-28,GNB,hipotecario,10624.663000,2979.398000,959561.102000,973165.163000
2015-02-28,GNB,medianas_empresas,39414.819000,9604.170000,554140.676000,603159.665000
2015-02-28,GNB,microempresas,0.000000,0.000000,651.804000,651.804000
2015-02-28,GNB,pequenas_empresas,124.061000,165.532000,26300.104000,26589.697000
2015-02-28,ICBC,corporativo,0.000000,0.000000,69460.200000,69460.200000
2015-02-28,ICBC,grandes_empresas,0.000000,0.000000,35326.550000,35326.550000
2015-02-28,INTERBANK,consumo,221702.782320,114730.115710,6925634.663170,7262067.561200
2015-02-28,INTERBANK,corporativo,96.703000,1216.811000,3207984.665000,3209298.179000
2015-02-28,INTERBANK,grandes_empresas,25285.862000,9930.483000,3176597.457000,3211813.802000
2015-02-28,INTERBANK,hipotecario,94045.610000,3441.024000,4134284.287000,4231770.921000
2015-02-28,INTERBANK,medianas_empresas,192112.705000,9059.770000,3636850.313000,3838022.788000
2015-02-28,INTERBANK,microempresas,1143.804000,339.941000,23702.983000,25186.728000
2015-02-28,INTERBANK,pequenas_empresas,31659.394000,4871.668000,486774.417000,523305.479000
2015-02-28,MIBANCO,consumo,6314.744700,2598.861810,151038.282620,159951.889130
2015-02-28,MIBANCO,hipotecario,10215.598000,0.000000,369202.582000,379418.180000
2015-02-28,MIBANCO,medianas_empresas,23601.241000,3419.719000,210125.682000,237146.642000
2015-02-28,MIBANCO,microempresas,35835.335000,8143.924000,696115.781000,740095.040000
2015-02-28,MIBANCO,pequenas_empresas,208424.528000,52946.013000,2247799.736000,2509170.277000
2015-02-28,PICHINCHA,consumo,22787.763270,7027.927340,1026510.656890,1056326.347500
2015-02-28,PICHINCHA,corporativo,0.000000,0.000000,249279.471000,249279.471000
2015-02-28,PICHINCHA,grandes_empresas,29665.297000,145.364000,1337101.218000,1366911.879000
2015-02-28,PICHINCHA,hipotecario,8331.769000,4841.589000,673889.658000,687063.016000
2015-02-28,PICHINCHA,medianas_empresas,95117.441000,32474.253000,1185112.095000,1312703.789000
2015-02-28,PICHINCHA,microempresas,5699.907000,1186.303000,113823.878000,120710.088000
2015-02-28,PICHINCHA,pequenas_empresas,47656.087000,7322.644000,478207.798000,533186.529000
2015-02-28,RIPLEY,consumo,40295.540680,10730.970080,1140811.192240,1191837.703000
2015-02-28,RIPLEY,microempresas,118.155000,0.000000,0.000000,118.155000
2015-02-28,SANTANDER,consumo,0.000000,0.000000,436.283410,436.283410
2015-02-28,SANTANDER,corporativo,0.000000,0.000000,906829.407000,906829.407000
2015-02-28,SANTANDER,grandes_empresas,8764.331000,113.257000,875522.996000,884400.584000
2015-02-28,SANTANDER,medianas_empresas,3626.379000,79.660000,691903.504000,695609.543000
2015-02-28,SANTANDER,pequenas_empresas,34.989000,0.000000,346.447000,381.436000
2015-02-28,SCOTIABANK,consumo,149002.040900,31344.004330,3874870.063780,4055216.109010
2015-02-28,SCOTIABANK,corporativo,618.964000,37.313000,6963541.751000,6964198.028000
2015-02-28,SCOTIABANK,grandes_empresas,45501.131000,10505.649000,6514959.229000,6570966.009000
2015-02-28,SCOTIABANK,hipotecario,64832.826000,16423.010000,4971656.404000,5052912.240000
2015-02-28,SCOTIABANK,medianas_empresas,285522.669000,49804.123000,5047740.369000,5383067.161000
2015-02-28,SCOTIABANK,microempresas,6487.934000,1620.405000,120831.274000,128939.613000
2015-02-28,SCOTIABANK,pequenas_empresas,251771.439000,38465.648000,2404415.772000,2694652.859000
2015-03-31,ALFIN,consumo,54469.894610,1252.849020,492490.769660,548213.513290
2015-03-31,BANCOM,consumo,9181.418010,5911.239370,761403.991310,776496.648690
2015-03-31,BANCOM,corporativo,0.196000,0.000000,28549.036000,28549.232000
2015-03-31,BANCOM,grandes_empresas,18878.983000,9541.283000,53577.171000,81997.437000
2015-03-31,BANCOM,hipotecario,551.194000,0.000000,21684.056000,22235.250000
2015-03-31,BANCOM,medianas_empresas,29596.679000,10096.017000,94516.147000,134208.843000
2015-03-31,BANCOM,microempresas,431.467000,103.200000,4028.633000,4563.300000
2015-03-31,BANCOM,pequenas_empresas,3208.866000,581.325000,11743.742000,15533.933000
2015-03-31,BBVA,consumo,104848.497000,53331.810270,3500170.780220,3658351.087490
2015-03-31,BBVA,corporativo,108.650000,0.000000,10815892.824000,10816001.474000
2015-03-31,BBVA,grandes_empresas,121387.563000,82999.336000,8430030.023000,8634416.922000
2015-03-31,BBVA,hipotecario,101558.711000,87074.388000,9823949.842000,10012582.941000
2015-03-31,BBVA,medianas_empresas,568075.784000,528682.341000,9253945.680000,10350703.805000
2015-03-31,BBVA,microempresas,1505.788000,1233.782000,68030.270000,70769.840000
2015-03-31,BBVA,pequenas_empresas,138541.236000,68987.474000,1142530.674000,1350059.384000
2015-03-31,BCP,consumo,278105.346080,195311.268560,8987327.095440,9460743.710080
2015-03-31,BCP,corporativo,8715.519000,0.000000,19304566.382000,19313281.901000
2015-03-31,BCP,grandes_empresas,46305.712000,20769.302000,12960894.952000,13027969.966000
2015-03-31,BCP,hipotecario,201074.423000,29810.727000,10928180.085000,11159065.235000
2015-03-31,BCP,medianas_empresas,580537.995000,151675.382000,10565438.211000,11297651.588000
2015-03-31,BCP,microempresas,7997.158000,3732.887000,309894.305000,321624.350000
2015-03-31,BCP,pequenas_empresas,468091.953000,175755.137000,3625849.101000,4269696.191000
2015-03-31,BIF,consumo,16834.844110,4637.928270,633000.026470,654472.798850
2015-03-31,BIF,corporativo,1.217000,0.000000,1080999.945000,1081001.162000
2015-03-31,BIF,grandes_empresas,6320.866000,38286.611000,1355997.965000,1400605.442000
2015-03-31,BIF,hipotecario,4554.538000,3108.751000,1376797.862000,1384461.151000
2015-03-31,BIF,medianas_empresas,76127.848000,69409.165000,2340849.372000,2486386.385000
2015-03-31,BIF,microempresas,648.423000,37.181000,10597.939000,11283.543000
2015-03-31,BIF,pequenas_empresas,12452.964000,4905.396000,183490.314000,200848.674000
2015-03-31,CENCOSUD,consumo,11824.195410,6056.087900,306558.614720,324438.898030
2015-03-31,CITIBANK,consumo,64589.892390,7816.190130,916507.277120,988913.359640
2015-03-31,CITIBANK,corporativo,0.000000,11328.491000,1286005.263000,1297333.754000
2015-03-31,CITIBANK,grandes_empresas,0.000000,0.000000,925674.180000,925674.180000
2015-03-31,CITIBANK,hipotecario,0.000000,0.000000,4807.583000,4807.583000
2015-03-31,CITIBANK,medianas_empresas,2802.754000,0.000000,160081.339000,162884.093000
2015-03-31,CITIBANK,microempresas,0.000000,0.000000,912.012000,912.012000
2015-03-31,CITIBANK,pequenas_empresas,0.000000,0.000000,569.713000,569.713000
2015-03-31,FALABELLA,consumo,122121.005970,47019.941450,2960705.719270,3129846.666690
2015-03-31,FALABELLA,grandes_empresas,0.000000,0.000000,3.187000,3.187000
2015-03-31,FALABELLA,hipotecario,334.257000,47.174000,9289.596000,9671.027000
2015-03-31,FALABELLA,medianas_empresas,0.000000,0.000000,4.761000,4.761000
2015-03-31,GNB,consumo,15182.638570,10047.740950,840450.597720,865680.977240
2015-03-31,GNB,corporativo,0.000000,0.000000,372310.731000,372310.731000
2015-03-31,GNB,grandes_empresas,5383.805000,811.308000,438029.524000,444224.637000
2015-03-31,GNB,hipotecario,10647.142000,3185.155000,971583.523000,985415.820000
2015-03-31,GNB,medianas_empresas,37750.440000,12513.043000,558745.691000,609009.174000
2015-03-31,GNB,microempresas,11.939000,0.000000,767.318000,779.257000
2015-03-31,GNB,pequenas_empresas,124.542000,151.503000,33494.776000,33770.821000
2015-03-31,ICBC,corporativo,0.000000,0.000000,72114.000000,72114.000000
2015-03-31,ICBC,grandes_empresas,0.000000,0.000000,36722.629000,36722.629000
2015-03-31,INTERBANK,consumo,220372.688210,117344.679050,7088957.904060,7426675.271320
2015-03-31,INTERBANK,corporativo,0.000000,1176.811000,3182199.820000,3183376.631000
2015-03-31,INTERBANK,grandes_empresas,25132.338000,9936.235000,3204647.458000,3239716.031000
2015-03-31,INTERBANK,hipotecario,100205.511000,3773.689000,4154504.103000,4258483.303000
2015-03-31,INTERBANK,medianas_empresas,136868.394000,7905.921000,3832382.777000,3977157.092000
2015-03-31,INTERBANK,microempresas,1089.723000,326.994000,23386.270000,24802.987000
2015-03-31,INTERBANK,pequenas_empresas,32442.994000,5188.293000,475478.136000,513109.423000
2015-03-31,MIBANCO,consumo,17309.285610,3206.019200,553823.937540,574339.242350
2015-03-31,MIBANCO,hipotecario,10256.264000,0.000000,358216.140000,368472.404000
2015-03-31,MIBANCO,medianas_empresas,26217.017000,2967.813000,222573.980000,251758.810000
2015-03-31,MIBANCO,microempresas,96944.608000,11062.014000,2108877.946000,2216884.568000
2015-03-31,MIBANCO,pequenas_empresas,298227.969000,57323.929000,3636042.676000,3991594.574000
2015-03-31,PICHINCHA,consumo,19714.743930,7031.780050,1053451.158490,1080197.682470
2015-03-31,PICHINCHA,corporativo,0.000000,0.000000,262324.524000,262324.524000
2015-03-31,PICHINCHA,grandes_empresas,24848.653000,9384.970000,1401822.671000,1436056.294000
2015-03-31,PICHINCHA,hipotecario,7969.581000,4816.539000,686698.325000,699484.445000
2015-03-31,PICHINCHA,medianas_empresas,91854.250000,34743.303000,1182155.392000,1308752.945000
2015-03-31,PICHINCHA,microempresas,5540.189000,1231.638000,114249.812000,121021.639000
2015-03-31,PICHINCHA,pequenas_empresas,48130.028000,7324.954000,487885.583000,543340.565000
2015-03-31,RIPLEY,consumo,40970.806700,9957.622530,1158007.728410,1208936.157640
2015-03-31,RIPLEY,microempresas,118.155000,0.000000,0.000000,118.155000
2015-03-31,SANTANDER,consumo,0.000000,0.000000,274.327600,274.327600
2015-03-31,SANTANDER,corporativo,0.000000,0.000000,923535.121000,923535.121000
2015-03-31,SANTANDER,grandes_empresas,8649.092000,113.257000,920539.953000,929302.302000
2015-03-31,SANTANDER,medianas_empresas,2228.884000,48.777000,663540.319000,665817.980000
2015-03-31,SANTANDER,pequenas_empresas,14.655000,0.000000,329.366000,344.021000
2015-03-31,SCOTIABANK,consumo,160367.633120,31227.480300,3888718.070530,4080313.183950
2015-03-31,SCOTIABANK,corporativo,654.268000,34.087000,6845215.777000,6845904.132000
2015-03-31,SCOTIABANK,grandes_empresas,33638.958000,26257.342000,6559508.576000,6619404.876000
2015-03-31,SCOTIABANK,hipotecario,71001.178000,17375.929000,5020341.171000,5108718.278000
2015-03-31,SCOTIABANK,medianas_empresas,289041.375000,51635.527000,5317641.770000,5658318.672000
2015-03-31,SCOTIABANK,microempresas,6693.383000,1662.310000,118676.618000,127032.311000
2015-03-31,SCOTIABANK,pequenas_empresas,261815.967000,38847.904000,2394776.689000,2695440.560000
2015-04-30,ALFIN,consumo,56115.901820,1070.328890,477917.564160,535103.794870
2015-04-30,BANCOM,consumo,10219.268260,4972.126100,767178.408530,782369.802890
2015-04-30,BANCOM,corporativo,0.166000,0.000000,50000.000000,50000.166000
2015-04-30,BANCOM,grandes_empresas,20998.217000,4697.813000,64180.437000,89876.467000
2015-04-30,BANCOM,hipotecario,549.995000,0.000000,22116.487000,22666.482000
2015-04-30,BANCOM,medianas_empresas,30569.621000,14532.581000,89564.908000,134667.110000
2015-04-30,BANCOM,microempresas,476.966000,81.035000,3801.015000,4359.016000
2015-04-30,BANCOM,pequenas_empresas,3103.334000,753.866000,11173.782000,15030.982000
2015-04-30,BBVA,consumo,116940.500970,53719.151110,3567577.646950,3738237.299030
2015-04-30,BBVA,corporativo,186.095000,0.000000,11083938.546000,11084124.641000
2015-04-30,BBVA,grandes_empresas,128423.101000,83935.505000,8494052.638000,8706411.244000
2015-04-30,BBVA,hipotecario,98615.330000,88226.827000,9934308.567000,10121150.724000
2015-04-30,BBVA,medianas_empresas,598427.625000,545228.220000,9218752.160000,10362408.005000
2015-04-30,BBVA,microempresas,1837.715000,1229.363000,70605.981000,73673.059000
2015-04-30,BBVA,pequenas_empresas,149663.044000,67034.785000,1159889.315000,1376587.144000
2015-04-30,BCP,consumo,281901.179280,201860.647060,9057740.179250,9541502.005590
